,Title,Link,Genre,Developer,Publisher,Release_JP,EU release,NA release,Plots
0,007 Racing,/wiki/007_Racing,007 Racing,Eutechnyx,EA Games,Unreleased,"December 15, 2000","November 20, 2000"," In 007 Racing the player takes on the role of British secret agent James Bond, behind the wheel of several of his vehicles from the then-19 official films. Cars include the Aston Martin DB5 made famous in its initial appearance in Goldfinger, the Lotus Esprit from The Spy Who Loved Me and For Your Eyes Only, and the BMW Z8 that briefly appeared in The World Is Not Enough as well as seven other automobiles. Each car is equipped with all the usual gadgetry and weapons issued by Q, the Quartermaster of a special branch of MI6 referred to as Q-Branch.   In 007 Racing, a high ranking European diplomat and businessman plans to hijack a shipment of NATO weapons and smuggle them to international terrorists inside cars that roll off the assembly line of his automotive plants. As Bond, it is up to the player to stop him. The gamer is supplied with several gadget-filled cars from the Bond universe to thwart the villain.  The story opens with Bond rescuing Cherise Litte from an Eastern European country (presumably Estonia) and getting her over the border in his Aston Martin DB5. Upon his return to London he is informed by M that a freighter carrying top secret NATO weapons including laser-guided surface-to-air missiles, long-range missiles, missile shields, latest GPS technology and Q equipped BMW 750iL bound for Halifax was intercepted in the Labrador Sea, south of Greenland. Bond is tasked with finding the cargo. His mission takes him to New York City, where he is met by his friend from the CIA Jack Wade. Upon arriving in New York he is informed by a villain that a bomb has been planted on his car and that any attempt to defuse it or slow down the vehicle will cause it to explode. Bond jettisons the car in the Hudson River.  Bond continues on with finding the electromagnetic pulse device that was stolen and destroying ten computers in distribution center from which a car transporter carrying the smuggling cars. He intercepts the transporter with his Aston Martin. Bond then goes to Mexico with his BMW Z3, to where he was pointed by questioning the transporter driver, the henchman Whisper. He is trying to track Zukovsky and once he manages, he finds out that behind everything is Dr Hammond Litte, Cherise's father, and that her rescue was just a decoy mission aiming to distract him from the freighter. Bond then engages in race with Xenia Onatopp and her Ferrari F355 after which he gets captured and taken to Louisiana. He manages to escape and finds the stolen BMW, after which he pursues and destroys the boat driven by Jaws.  Back in New York, Bond downloads the files from four limousines with his BMW Z8 and discovers that Litte's real plan is to release a deadly virus that will kill millions. Bond then goes to the Baltic Sea with his Lotus Esprit and after infiltrating opponent's underwater base he destroys the plane transporting the virus.  "
1,007 The World Is Not Enough,/wiki/The_World_Is_Not_Enough_(PlayStation_video_game),007 The World Is Not Enough,Black Ops Entertainment,EA Games,Unreleased,"November 17, 2000","November 8, 2000"," The World Is Not Enough is a first-person shooter based on MGM's 1999 James Bond film of the same name, where the player assumes the role of James Bond through 11 different missions. In each mission, the player must complete a number of objectives while defeating enemies controlled by the game's artificial intelligence. Objectives range from rescuing hostages to destroying vehicles and collecting items. Some objectives require the player to use numerous high-tech gadgets. For example, the Credit Card Lockpick can be used to open locked doors, while the Micro Camera is useful for photographing evidence. There is one mission that does not involve combat, and requires the player to play blackjack in a casino and win consistently.  As a first-person shooter, combat takes place in real-time and from a first-person perspective. The player can use several weapons, including submachine guns, shotguns, a tranquilizer gun, a sniper rifle, and a rocket launcher. Weapons must be reloaded after a certain number of shots. The player has a certain amount of health which decreases when attacked by enemies. Heavy and Light Armor power-ups that absorb extra damage can be collected throughout the game. These power-ups, however, cannot protect the player from extreme falls or radiation. The game features several lengthy cuts from the film as cutscenes.  "
2,007 Tomorrow Never Dies,/wiki/Tomorrow_Never_Dies_(video_game),007 Tomorrow Never Dies,Black Ops Entertainment,Electronic Arts,"February 10, 2000","November 25, 1999","November 16, 1999"," Tomorrow Never Dies is a third-person shooter with elements of stealth gameplay. MI6 agent James Bond is the player character for most of the game, and Chinese agent Wai Lin is also playable in one level. The player can walk, run, sneak, sidestep, and roll. A variety of weapons can be used throughout the game, including a sniper. The game switches to a first-person perspective when aiming weapons.  Clips from the film are shown after each level to advance the story. The game is played across ten levels, two of which include a skiing portion. Another level is played primarily as a driving game, with the player using an armed car to destroy enemy vehicles.   Bond begins to cross the China–Russia border into a Russian radar base, which is intercepting messages delicate in subject. Using a laser designator, Bond targets the dish and a British jet flies over, dropping an air to surface missile. A helicopter arrives, and Bond kills the occupants, and recovers a key. He uses the key to unlock a large gate, and makes his escape on skis. Bond reaches the end of the run - a sheer cliff drop. Bond continues on, and opens his Union Jack parachute.  Bond later lands in an arms bazaar. After taking photographs of military hardware, a British naval ship launches a BGM-109 Tomahawk to eliminate all potential threats and hardware. Bond realizes there are nuclear weapons at the Bazaar on a MIG jet (in reality, the jet was a L-39 Albatros). After an intense firefight between Bond and Russian terrorists, he hijacks the jet and returns to MI6.  Bond is sent to investigate a man called Elliot Carver during a party in Hamburg, Germany after a British warship sank in the South China Sea, with all hands going down. Carver media published the full story before MI6 received a full report, raising MI6's suspicions. During the party Bond meets his former lover, Paris, now Carver's wife, who slaps him. Carver arrives, and offers a ""tour of the facilities"". Bond follows, but is knocked out by a henchman. He wakes up in a room with a large 2-way mirror. He uses his laser-cufflinks to escape, then he destroys the central computer, allowing him to make his escape. He then makes his way to the press, and engages in a firefight between Carver's guards.  He recovers Henry Gupta's GPS scrambler, which was used to lure the British navy into Chinese waters to try and spark an international incident. As the existing Chinese government is not receptive to giving Carver Media Group Network exclusive broadcast rights in China, Carver plans to start a war to eliminate the present government and replace it with politicians more supportive to his plans. Bond then escapes to the Hotel Atlantic, where Paris is being held prisoner. He arrives, and heads to the bar where he asks to see Paris; resulting in a shootout between Bond and the guards, who were working for Carver. Bond uses the elevator to get to Paris' apartment, where he meets Kaufman. Kaufman tries to kill Bond by using spinning razor discs and an AK-47. Bond kills Kaufman and helps Paris escape. They go to the underground garage, where Bond drives away in his BMW 7 Series.  MI6 has found the headquarters of Henry Gupta near the foothills of the Swiss Alps. The convoy of terrorist cars and trucks is heading to Gupta's Alpine hideout for an important meeting. Bond is sent to stop the convoy. Along the way Bond meets Q, who gives him the BMW to stop the convoy. Bond successfully destroys the convoy with the BMW and drives away. Bond is then sent to a ski ridge in Hokkaido, Japan, to track down and kill chemical expert Satoshi Isagura, who is thought to be working for Elliot Carver after a nerve gas attack in Yokohama.  Carver Media was also the first to report the story. Bond kills Isagura and is sent to Saigon.  Bond steals a data disk from Carver Media Tower in Saigon but is captured. Bond manages to escape with the data disk. The next night, Carver bribes the Saigon Military Police to kill Bond on sight, so MI6 pulls Bond out as the mission would be compromised were Bond to be seen or killed. Bond gives Wai Lin the data disk, and Wai Lin engages the Saigon Military Police in a gun battle with the police setting roadblocks and using fast-firing chain guns. She makes it back to her lab to find the location of Carter's stealth boat, hidden in Hạ Long Bay. On the stealth boat, Bond uses the boat's comm-link to give MI6 its position. Wai Lin is kidnapped but is later freed by Bond after he kills Carver's right-hand man, Stamper. Wai Lin stops the engine while Bond shoots and kills Carver and stops the stolen nuclear missile from destroying Beijing. Bond and Wai Lin escapes the stealth boat before it self-destructs.  "
5,102 Dalmatians Puppies to the Rescue,/wiki/102_Dalmatians_Puppies_to_the_Rescue,102 Dalmatians Puppies to the Rescue,Crystal Dynamics,Eidos Interactive,Unreleased,"December 20, 2000","November 15, 2000","  The player can choose the role of Domino (voiced by Frankie Muniz in console versions) or Oddball (voiced by Molly Marlette). Over the course of the game, the player has several opportunities to collect 'stickers' towards a virtual sticker book which can be accessed through the level menu. Various actions within the game will unlock stickers. Generally, there is a sticker for exiting every level, collecting 100 bones each level and rescuing all the puppies in each level. Each level has its own individual tasks which will also grant stickers: completing a chore, defeating a henchman and solving puzzles. There are six stickers per a level, excluding Cruella levels, which combine together with mini games for their own sticker image. The stickers are like puzzle pieces that create a realistic picture.  Puppies to the Rescue is a 3-dimensional game with the ability to angle the camera in whichever direction will make it easiest for navigation. The player must avoid and bark at enemy toys to short-circuit them, or tumble into them to smash them.  Checkpoints within a level are places where the player will be sent back if a life is lost and are marked by a parrot named Waddlesworth. If a toy hurts the player four times, a life is lost. If a checkpoint has not been reached before a life is lost, the player is sent back to the starting point. Unlike the Game Boy Color version of the game where the toys are active after being broken, toys the players break stay broken. To regain lost health, the player can collect food.  Each level has a 'spirit animal friend' who will tell the player how to get through the level, and sometimes assign Oddball or Domino specific tasks to do in return for a reward or assistance. Certain levels also feature one of Cruella's three main henchmen from both films: Jasper and Horace from 101 Dalmatians, and Le Pelt from 102 Dalmatians. Unlike enemy toys, they are invincible from normal attacks and the player must perform a certain task instructed by the level's animal friend in order to defeat them. After a specific number of levels has been completed, the player will face Cruella in a series of boss battles which will unlock a minigame to play upon completion.  "
6,1Xtreme,/wiki/1Xtreme,1Xtreme,Sony Interactive Studios America,SCEA,"May 24, 1996",December 1995,"September 9, 1995"," The game featured many different sports, including skateboarding, roller blading, street luge and mountain biking. The tracks start at one end of a city, and progress along a linear path to another point of the city. Players kick and punch opponents while trying to obtain cash, attaining first place. The tracks are located in various parts of the world (i.e. including Tahoe and San Francisco).  Video clips of broadcaster Suzy Kolber are displayed after each race, in which she offers words of encouragement or pointed criticism of your performance.  "
8,2Xtreme,/wiki/2Xtreme,2Xtreme,Sony Interactive Studios America,SCEA,Unreleased,"March 6, 1997","October 31, 1996"," Players compete on 12 courses with different vehicles. Points are awarded for performing tricks, passing through special gates, and knocking down opponents. Health dictates how easily a player can be knocked over by an obstacle or another racer, and decreases when a player accelerates. 2Xtreme has four different difficulty levels. A player can choose in the options to race without the other computer characters, and also turn off fighting.  On 2Xtreme a player can either do a normal 'Exhibition' race or a season which involves all 12 tracks and creates standings based on the score the player achieves in each track. The score is calculated mainly by the time the player finishes in and place in the race. Points from gates, knockdowns and tricks are then added to this. On 2-player mode both for Exhibitions and Seasons the screen is split horizontally and both players start at the back of the race. This makes the game a little more difficult as it becomes harder to see and avoid the obstacles in your path.  "
10,3D Baseball,/wiki/3D_Baseball,3D Baseball,Crystal Dynamics,Crystal Dynamics,"February 28, 1997",Unreleased,"October 31, 1996"," There are over 700 major league players included with their own statistics and batting stances (50 of which are included).  In the season mode, which is a full season of baseball, players can play it with an arcade setting or can be the general manager of the chosen team. Being the general manager means players will have to actually run the team. Players have to pick line-ups and the pitching rotation, substitute batters and runners, trade players, etc. This also allows players to build their very own dream team featuring their favorite players. Players can play a short or extended season or opt to play a quickie arcade game against the computer or friend.  "
11,3D Shooting Tsukuru,/wiki/Success_(company)#Games,3D Shooting Tsukuru,Success,ASCII Entertainment,"December 20, 1996",Unreleased,Unreleased,Games developed and/or published  
13,3x3 Eyes Tenrinou Genmu,/wiki/3x3_Eyes,3x3 Eyes Tenrinou Genmu,Nihon Create,King Records,"August 6, 1998",Unreleased,Unreleased," 3×3 Eyes follows the adventures of Pai, the last remaining Sanjiyan Unkara (三只眼 吽迦羅, three-eyed mandala), and her new Wu (Chinese reading of 无; an immortal companion), Yakumo, as they desperately try to find a magical artifact, the Ningen no Zō, to make Pai human so that she can forget her troubled past. Pai travelled to Tokyo searching for the artifact, but shortly after she arrived, a thief snatched her backpack and cane from her. A teenage lad, Yakumo, tackled the crook and managed to get the pack back for her, though the thief escaped with the cane. Yakumo took her to his work, where Pai was able to get cleaned up, and where she discovered that he was the son of Professor Fujii, an archaeologist she had met in Tibet four years prior. The Professor had been researching the legends of the Sanjiyans and had befriended her and offered to help her find the Ningen, only to fall ill and die. Pai had his last letter to his son in her backpack, which asked Yakumo to help Pai with her quest. Although he did not believe his father's tales of Pai being a monster, he agreed to assist her.  Their discussion was interrupted by news reports of a giant monster flying over the city. Pai recognised the creature as her pet Takuhi, who must have been released from his home in Pai's cane by the thief, and who was now looking for her. Pai set out to retrieve him, with Yakumo close behind. However when Yakumo saw Takuhi fly towards Pai, the lad mistook the beast's welcome for an attack, and shoved Pai out the way; immediately Takuhi ripped into the lad, fatally wounding him. Unwilling to lose the boy she had been hunting for and just located, Pai's third eye opened, and she absorbed his soul. This restored his body, but tied him to her as her undead servant. Linked to her, he can only become human again when she becomes human. In the way of this goal are hordes of monsters and demons from the Shadow World, some desiring Pai's powers, others who seek the Ningen for their own. Yakumo can again become mortal and end his constant need to protect Pai because if Pai dies, then so will he. Along the way, they encounter many followers of the now-dead demon god Kaiyanwang, all of whom wish to kill Pai or siphon off her power in order to resurrect their deity and/or gain immortality.  "
14,3Xtreme,/wiki/3Xtreme,3Xtreme,989 Studios,989 Studios,Unreleased,Unreleased,"March 31, 1999"," In 3Xtreme, the players take part in specific events using skateboards, BMX or inline skates. With the simplistic nature of each stage, the focus is on doing tricks instead of pure driving. There are more than 22 courses, mostly taken from 2Xtreme. They include parks, subways, mountains and islands. Each trick, for which Dave Mirra and Andy MacDonald did motion-capture, can be linked into combos. Some of them are rail slides, board grabs and 360 degree turns. 3Xtreme rewards doing trick moves as good as possible by giving points, judging by how well they were performed. They can be used afterwards to upgrade the vehicles. The game contains several modes: exhibition (is used to prepare for the race against the opponents), freestyle (competition in who gets the most trick points), and season (playing through three circuits which unlocks some equipment and extra tracks).  "
